raw_payer	primaryPayerType	mapped_payer
MEDCO #2	OTHER	ESI
EXCELLUS	COMMERCIAL	BCBS EXCELLUS (NY)
OXFORD	COMMERCIAL	UNITED HEALTHCARE
BCBS	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
AETNA (NJ)	COMMERCIAL	Aetna (NJ)
AETNA BETTER HEALTH-PENNSYLVANIA	COMMERCIAL	Aetna (PA)
INFORMED RX/SXC	COMMERCIAL	OPTUMRX
UNITED HEALTHCARE COMM PL	OTHER	UNITED HEALTHCARE
HORIZON B/C B/S	COMMERCIAL	BCBS HORIZON (NJ)
CAREMARK	PBM	CVS CAREMARK
BLUE CROSS CAPITAL/CBC (PA)	COMMERCIAL	BLUE CROSS CAPITAL/CBC (PA)
WELLPOINT NEXT RX - EXPRESS SCRIPTS	PBM	ANTHEM
ILLINOIS MEDICAID	MEDICAID	MEDICAID (IL)
ANTHEM BCBS	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
HORIZON MERCY	OTHER	BCBS HORIZON (NJ)
ADVANCE PRESCRIPTION MGMT ADV	COMMERCIAL	CVS CAREMARK
MEDICA-CAREMARK	PBM	MEDICA HEALTH PLANS
CAREMARK-CVS	PBM	CVS CAREMARK
ALASKA MEDICAID	MEDICAID	MEDICAID (AK)
UNITED HEALTHCARE UHC	OTHER	UNITED HEALTHCARE
OPTUM RX	COMMERCIAL	OPTUMRX
BCBSNJ	COMMERCIAL	BCBS HORIZON (NJ)
BCBS ARIZONA (AZ)	COMMERCIAL	BCBS ARIZONA (AZ)
ANTHEM(OH)	COMMERCIAL	Anthem(OH)
INDEPENDENCE BLUE CROSS-MEDICAL	COMMERCIAL	BLUE CROSS INDEPENDENCE/IBC
CATAMARAN	PBM	Catamaran
AMERIHEALTH CARITAS PENNSYLVANIA	MEDICAID	AMERIHEALTH CARITAS FAMILY OF COMPANIES
ANTHEM BCBS OF KENTUCKY-ESI	MEDICAID	Anthem(KY)
HNJH	MEDICAID	BCBS HORIZON (NJ)
HORIZON B/C B./S	COMMERCIAL	BCBS HORIZON (NJ)
CIGNA	OTHER	Cigna
MERIDIANRX	OTHER	MERIDIAN HEALTH PLAN
MEDCO HOME DELIVERY	MEDICARE	ESI
PRIMETHERAPEUTICS BC/BS S	MEDICAID	PRIME THERAPEUTICS
BCBS CAREFIRST (DC)	COMMERCIAL	BCBS CAREFIRST (DC)
BLUE CROSS COMPLETE OF MI-ARGUS	MEDICAID	BCBS MICHIGAN (MI)
EMPIRE BCBS	COMMERCIAL	Anthem(NY)
BCBSNC HMO	OTHER	BCBS NORTH CAROLINA (NC)
BCBS IL PPO (IL)	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (IL)
MEDIMPACT	COMMERCIAL	MEDimpact
BCBS NEW MEXICO	MEDICAID	BCBS HEALTHCARE SERVICE CORP (NM)
SILVER	OTHER	SILVERSCRIPT
HEALTH NET INC. (AZ)	COMMERCIAL	HEALTH NET INC. (AZ)
WELLPOINT PHARMACY MANAGEMENT	MEDICAID	ANTHEM
CAREMARK 3	OTHER	CVS CAREMARK
UNITED HEALTH CARE	PBM	UNITED HEALTHCARE
PRIME THERAPUTICS	OTHER	PRIME THERAPEUTICS
BCBS LOUISIANA (LA)	COMMERCIAL	BCBS LOUISIANA (LA)
BLUE CROSS OF CALIFORNIA	COMMERCIAL	BLUE CROSS OF CALIFORNIA
CASH PAY PATIENT	OTHER	Other
CDPHP	MEDICAID	"CAPITAL DISTRICT PHYSICIANS HEALTH PLAN, INC."
CENTENE(IL)	COMMERCIAL	Centene(IL)
HIGHMARK DELAWARE	COMMERCIAL	BCBS HIGHMARK (DE)
CATAMARAN CIGNA	OTHER	Catamaran
OPTUM DIRECT	MEDICARE	OPTUMRX
BCBS MICHIGAN (MI)	COMMERCIAL	BCBS MICHIGAN (MI)
GENERAL AETNA	OTHER	AETNA
EMPIRE BCBS OF NEW YORK-ESI	MEDICAID	Anthem(NY)
BCBS KANSAS	COMMERCIAL	BCBS KANSAS (KS)
UNITED HEALTHCARE-OPTUM RX	PBM	UNITED HEALTHCARE
MEDIMPACT	PBM	MEDimpact
UNITED HEALTHCARE (NJ)	COMMERCIAL	UNITED HEALTHCARE (NJ)
BCBSNCHB	COMMERCIAL	BCBS NORTH CAROLINA (NC)
MASSACHUSETTS MEDICAID	MEDICAID	MEDICAID (MA)
CDPHP	COMMERCIAL	"CAPITAL DISTRICT PHYSICIANS HEALTH PLAN, INC."
PRIMETHERAPEUTICS BC/BS S	OTHER	PRIME THERAPEUTICS
MEDCO COMMERCIAL	COMMERCIAL	ESI
MED MUTUAL OF OH/CAROLINA CARE (OH)	COMMERCIAL	MED MUTUAL OF OH/CAROLINA CARE (OH)
BCBS TX HCSC DRUG ONLY	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (TX)
IL MEDICAID	OTHER	MEDICAID (IL)
HORIZON NJ HEALTH	COMMERCIAL	BCBS HORIZON (NJ)
BCBS	OTHER	BLUE CROSS AND BLUE SHIELD
BCBS IL PPO (IL)	OTHER	BCBS HEALTHCARE SERVICE CORP (IL)
ADVANCE PRESCRIPTION MGMT ADV	OTHER	CVS CAREMARK
PERFORM RX	MEDICAID	AMERIHEALTH CARITAS FAMILY OF COMPANIES
BC/BS FEDERAL EMPLOYEES	OTHER	FEDERAL EMPLOYEES/ FEHB
BLUESHIELD CALIFORNIA	COMMERCIAL	BLUE SHIELD OF CALIFORNIA (CA)
BOSTON MED CTR HLTHNET PLAN	COMMERCIAL	"BOSTON MEDICAL CENTER HEALTH PLAN, INC."
BCBS HORIZON (NJ)	OTHER	BCBS HORIZON (NJ)
RI BLUE CROSS	COMMERCIAL	BCBS RHODE ISLAND (RI)
MEDICAL MUTUAL	OTHER	MED MUTUAL OF OH/CAROLINA CARE (OH)
MEDIMPACT	OTHER	MEDimpact
MEDICAID (MD)	COMMERCIAL	MEDICAID (MD)
HUMANA	COMMERCIAL	HUMANA
BLUECARE TENNCARE SELECT	MEDICAID	BCBS TENNESSEE (TN)
AARP	COMMERCIAL	UNITED HEALTHCARE
BCBS HIGHMARK (DE)	COMMERCIAL	BCBS HIGHMARK (DE)
AETNA (TN)	COMMERCIAL	Aetna (TN)
BCBS HIGHMARK (PA)	OTHER	BCBS HIGHMARK (PA) 
TRICARE EAST	GOVERNMENT	TRICARE EAST
MEDICAL MUTUAL OF OHIO	COMMERCIAL	MED MUTUAL OF OH/CAROLINA CARE (OH)
BCBS OF NC	COMMERCIAL	BCBS NORTH CAROLINA (NC)
AULTCARE	COMMERCIAL	AULTCARE (OH)
CAREMARK FORMERLY ADVANCED PARADIGM	PBM	CVS CAREMARK
BCBS WYOMING	COMMERCIAL	BCBS WYOMING (WY)
MEDIMPACT	MEDICAID	MEDimpact
GEISINGER HEALTH PLAN (PA)	MEDICAID	GEISINGER HEALTH PLAN (PA)
CVS/CAREMARK	MEDICAID	CVS Caremark
BCBS W NEW YORK - HEALTHNOW	COMMERCIAL	BCBS/BS/HEALTH NOW NEW YORK (NY)
BLUE CROSS INDEPENDENCE/IBC (PA)	COMMERCIAL	BLUE CROSS INDEPENDENCE/IBC (PA)
ENVISION RX OPTIONS	COMMERCIAL	ENVISIONRX OPTIONS
NAVITUS HEALTH SOLUTIONS	COMMERCIAL	NAVITUS HEALTH SOLUTIONS (UNSPECIFIED)
BCBS OF ALABAMA	PBM	BCBS ALABAMA (AL)
UNIVERA HEALTHCARE	COMMERCIAL	BCBS EXCELLUS (NY)
OPTUM	OTHER	OPTUMRX
ADVANCE2	OTHER	CVS CAREMARK
BCBS W NY-HEALTHNOW-BLUE CARD	COMMERCIAL	BCBS/BS/HEALTH NOW NEW YORK (NY)
UNITED HEALTHCARE	MEDICAID	UNITED HEALTHCARE
CAREMARK 3	COMMERCIAL	CVS CAREMARK
FIRST CAROLINACARE (NC)	COMMERCIAL	FIRST CAROLINACARE (NC)
BCBS AL-SPEC-DRUG ONLY	COMMERCIAL	BCBS ALABAMA (AL)
UNITED HEALTH CARE HMO	OTHER	UNITED HEALTHCARE
BLUE CROSS BLUE SHIELD ILLINOIS	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (IL)
GENERAL UHC	OTHER	UNITED HEALTHCARE
BCBS WESTERN NY/HEALTHNOW-ESI	MEDICAID	BCBS/BS/HEALTH NOW NEW YORK (NY)
BCBS TENNESSEE (TN)	OTHER	BCBS TENNESSEE (TN)
UNITED HEATLH CARE	PBM	UNITED HEALTHCARE
EXCELLUS - ESI	PBM	BCBS EXCELLUS (NY)
BCBS MINNESOTA	COMMERCIAL	BCBS MINNESOTA (MN)
CIGNA	MEDICARE	Cigna
WESTERN BC/BS NY	MEDICAID	BCBS/BS/HEALTH NOW NEW YORK (NY)
BCBS NORTH CAROLINA (NC)	OTHER	BCBS NORTH CAROLINA (NC)
MERIDIAN HLTH IL	OTHER	Meridian Health Plan (IL)
OPTUM RX - PRES SOL	PBM	OPTUMRX
BLUECARD	COMMERCIAL	Blue Cross and Blue Shield
BCBS TENNESSEE	COMMERCIAL	BCBS TENNESSEE (TN)
ANTHEM	COMMERCIAL	Anthem
ANTHEM (IN)	COMMERCIAL	Anthem (IN)
ANTHEM(VA)	COMMERCIAL	Anthem(VA)
BCMP	COMMERCIAL	Blue Cross and Blue Shield
IV BCBS	COMMERCIAL	Blue Cross and Blue Shield
GENERAL BCBS MASSACHUSETTS	OTHER	BLUE CROSS MASSACHUSETTS (MA)
PRIME THERAPEUTICS	PBM	PRIME THERAPEUTICS
ESI	COMMERCIAL	ESI
GATEWAY HEALTH PLAN	MEDICAID	Gateway Health Plan
GATEWAY	OTHER	GATEWAY HEALTH PLAN
NY MEDICAID	MEDICAID	MEDICAID (NY)
BCBS ARKANSAS (AR)	COMMERCIAL	BCBS ARKANSAS (AR)
CAREFIRST	COMMERCIAL	"CAREFIRST, INC."
GROUP HEALTH INC (GHI)-OFFICE	COMMERCIAL	EMBLEMHEALTH/HIP/GHI (NY)
HUMANA (TX)	COMMERCIAL	HUMANA (TX)
UHC - GOLDEN RULE	OTHER	UNITED HEALTHCARE
BCBS SOUTHERN SCRIPT	OTHER	Blue Cross and Blue Shield
BLUE CROSS	COMMERCIAL	Blue Cross and Blue Shield
OPTUM RX	MEDICAID	OPTUMRX
TRICARE	OTHER	TRICARE
GATEWAY	MEDICAID	GATEWAY HEALTH PLAN
PRESCRIPTION SOLUTIONS	MEDICAID	OPTUMRX
OPTUM RX - PRES SOL	MEDICARE	OPTUMRX
CENTENE(AR)	COMMERCIAL	Centene(AR)
MEDICAID (MI)	COMMERCIAL	MEDICAID (MI)
PREMERA BLUE CROSS (WA)	COMMERCIAL	Premera Blue Cross (WA)
AETNA (EXPRESS SCRIPTS)	OTHER	AETNA
AETNA (DE)	COMMERCIAL	Aetna (DE)
HORIZON BCBS OF NEW JERSEY	COMMERCIAL	BCBS HORIZON (NJ)
BLUE CROSS BLUE SHIELD OF GEORGIA	COMMERCIAL	BLUE CROSS BLUE SHIELD OF GEORGIA
AK MEDICAID	MEDICAID	MEDICAID (AK)
SILVERSCRIPT (CAREMARK)	MEDICARE	SILVERSCRIPT
GENERAL HUMANA TRICARE DOD	OTHER	HUMANA
OPTUMRX	COMMERCIAL	OptumRX
UNITED HEALTHCARE COMMUNITY PLAN	COMMERCIAL	UNITED HEALTHCARE
MEDCO	PBM	ESI
AETNA BETTER HEALTH	COMMERCIAL	AETNA
AETNA (FL)	OTHER	Aetna (FL)
MEDCO #2	COMMERCIAL	ESI
AETNA (MD)	COMMERCIAL	Aetna (MD)
MERIDIAN RX	OTHER	MERIDIAN HEALTH PLAN
AETNA MEDICARE D	MEDICARE	AETNA
AETNA (NY)	COMMERCIAL	Aetna (NY)
ANTHEM BLUE CROSS BLUE SHIELD	COMMERCIAL	Anthem
BCBS IL - HEALTH CARE SERVICE CORP	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (IL)
BCBS KANSAS CITY	COMMERCIAL	BCBS KANSAS CITY (MO)
BCBS OF KANSAS CITY	COMMERCIAL	BCBS KANSAS CITY (MO)
HARVARD PILGRIM HCARE - MEDIMPACT	PBM	"HARVARD PILGRIM HEALTHCARE, INC."
HUM	MEDICARE	HUMANA
OPUS HEALTH LF961007	OTHER	OPUS HLTH INFO SYS UNSPEC
UHC - ALL SAVERS	OTHER	UNITED HEALTHCARE
UHC - STUDENT RESOURCES	OTHER	UNITED HEALTHCARE
"BLUE CROSS HRT, HRF, TDM, USK"	OTHER	Blue Cross and Blue Shield
EXPRESS SCRIPTS	MEDICAID	ESI
AETNA BETTER HEALTH - PENNSYLVANIA	MEDICAID	Aetna (PA)
HEALTH NET INC. (CA)	MEDICAID	HEALTH NET INC. (CA)
MEDICAID (MD)	MEDICAID	MEDICAID (MD)
BCBS SOUTHERN SCRIPT	MEDICAID	Blue Cross and Blue Shield
BLUE CROSS INDEPENDENCE/IBC (PA)	OTHER	BLUE CROSS INDEPENDENCE/IBC (PA)
AMERIGROUP (TN)	COMMERCIAL	Anthem(TN)
GEISINGER HEALTH PLAN - MEDIMPACT	MEDICAID	GEISINGER HEALTH SYSTEM CORPORATION
MEDICAID (WI)	COMMERCIAL	MEDICAID (WI)
BCBS EXCELLUS (NY)	COMMERCIAL	BCBS EXCELLUS (NY)
BCBS MINNESOTA (MN)	COMMERCIAL	BCBS MINNESOTA (MN)
UHCCS NJ MEDICAID	PBM	UNITED HEALTHCARE (NJ)
PRIORITY HEALTH	COMMERCIAL	PRIORITY HEALTH (MI)
AETNA EXCLUSIVE DRUGS ONLY	PBM	AETNA
CARE IMPROVEMENT PLUS	MEDICARE	CARE IMPROVEMENT PLUS
HUMANA (TN)	COMMERCIAL	HUMANA (TN)
PRIME THERAPEUTICS BCBS	OTHER	PRIME THERAPEUTICS
UNITED HEALTHCARE COMMUNITY PLAN - NEW YORK	MEDICAID	UNITED HEALTHCARE (NY)
GENERAL BCBS SOUTH CAROLINA	OTHER	BCBS SOUTH CAROLINA (SC)
BENECARD - NDC	PBM	PBM
BLUE CARE	MEDICAID	Blue Cross and Blue Shield
OPTUM RX	MEDICARE	OPTUMRX
MEDCO HEALTH	MEDICARE	ESI
HIGHMARK BLUE CROSS BLUE SHIELD	OTHER	HIGHMARK
WELLPOINT	COMMERCIAL	ANTHEM
AETNA (PA)	OTHER	Aetna (PA)
SILVER	GOVERNMENT	SILVERSCRIPT
PRESCRIPTION SOLUTIONS	COMMERCIAL	OPTUMRX
AMERIGROUP (TN)	MEDICAID	Anthem(TN)
OPUS HEALTH COUPON PROGRAM	CASH	OPUS HLTH INFO SYS UNSPEC
MVP HEALTH CARE	COMMERCIAL	"MVP Health Care, Inc. (NY)"
AMERIGROUP MARYLAND (MD)	COMMERCIAL	Anthem(MD)
HEALTH PARTNERS PLANS (PA)	COMMERCIAL	HEALTH PARTNERS PLANS (PA)
UPMC FOR YOU - EXPRESS SCRIPTS	COMMERCIAL	UPMC HEALTH SYSTEM
CATAMARAN - SXC	PBM	Catamaran
CAREMARK FED PCS	OTHER	FEDERAL EMPLOYEES/ FEHB
PREMERA BLUE CROSS (AK)	COMMERCIAL	Premera Blue Cross (AK)
BLUE CARE NETWORK	COMMERCIAL	BCBS MICHIGAN (MI)
BLUE CROSS COMMUNITY	OTHER	Blue Cross and Blue Shield
BLUE CROSS COMMUNITY HEALTH	OTHER	Blue Cross and Blue Shield
UNITED HEALTHCARE	OTHER	UNITED HEALTHCARE
"BLUE CROSS HRT, HRF, TDM, USK"	COMMERCIAL	Blue Cross and Blue Shield
MARYLAND PHYSICIANS CARE (MD)	COMMERCIAL	MARYLAND PHYSICIANS CARE (MD)
ILLINICARE HEALTH PLAN	MEDICAID	Centene(IL)
BCBS ALABAMA (AL)	COMMERCIAL	BCBS ALABAMA (AL)
CENTENE(FL)	COMMERCIAL	Centene(FL)
ANTHEM(NY)	COMMERCIAL	Anthem(NY)
BCBS HEALTHCARE SERVICE CORP (TX)	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (TX)
BLUE SHIELD OF CALIFORNIA (CA)	COMMERCIAL	BLUE SHIELD OF CALIFORNIA (CA)
RESTAT	PBM	RESTAT
EMPIRE	COMMERCIAL	Anthem(NY)
BCBS OK -HEALTH CARE SERVICE CORP	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (OK)
EXPRESS SCRIPTS MEDICARE RX PLAN	MEDICARE	ESI
MEDCO8	OTHER	ESI
HARVARD PILGRIM HEALTHCARE	PBM	"HARVARD PILGRIM HEALTHCARE, INC."
HUMANA CARESOURC	OTHER	HUMANA
PRESCRIPTION SOLN PACIFICARE	MEDICARE	OPTUMRX
BLUE MEDICARE RX PREMIER (PDP)	OTHER	Blue Cross and Blue Shield
BCBS GA	COMMERCIAL	BLUE CROSS BLUE SHIELD OF GEORGIA
GENERAL BS CALIFORNIA	OTHER	BLUE SHIELD OF CALIFORNIA (CA)
MEDCO	MEDICAID	ESI
FIDELIS	COMMERCIAL	FIDELIS CARE NEW YORK (NY) 
CENTENE(OH)	MEDICAID	Centene(OH)
CAPITAL HEALTH PLAN	COMMERCIAL	CAPITAL HLTH PLAN (FL)
CATAMARAN	OTHER	Catamaran
BCBS ARIZONA (AZ)	OTHER	BCBS ARIZONA (AZ)
UNITED HEALTH CARE	OTHER	UNITED HEALTHCARE
TRICARE EAST	COMMERCIAL	TRICARE EAST
ARGUS	COMMERCIAL	Argus
HEALTH ALLIANCE MEDICAL PLAN HAP (HENRY FORD HEALTH CARE CORP)	COMMERCIAL	Health Alliance Medical Plan HAP (Henry Ford Health Care Corp)
KEYSTONE FIRST	COMMERCIAL	KEYSTONE/AMERIHEALTH MERCY
MERITAIN HEALTH	COMMERCIAL	MERITAIN HEALTH
INFORMED RX	PBM	OPTUMRX
CENTENE	COMMERCIAL	Centene
MEDICAID (AZ)	COMMERCIAL	MEDICAID (AZ)
BCBS HIGHMARK (WV)	COMMERCIAL	BCBS HIGHMARK (WV)
BLUE CROSS BLUE SHIELD	COMMERCIAL	BLUE CROSS AND BLUE SHIELD
CARESOURCE	MEDICAID	CARESOURCE HEALTH PLAN (OH)
MEDIMPACT ASPROD1	OTHER	MEDIMPACT
ANTHEM BLUE CROSS BLUE SHIELD OF OHIO PPO	COMMERCIAL	Anthem(OH)
BLUE CROSS IDAHO (ID)	COMMERCIAL	BLUE CROSS IDAHO (ID)
CAREMARK FORMERLY ADV PRESC MNGT	PBM	CVS CAREMARK
STATE OF ARIZONA	COMMERCIAL	MEDICAID (AZ)
MERIDIN	OTHER	MERIDIAN HEALTH PLAN
UHC - MEDICA	OTHER	UNITED HEALTHCARE
